iter	Passed	Remaining
214	529	1932
215	530	1926
216	532	1920
217	533	1914
218	534	1907
219	536	1900
220	537	1893
221	542	1902
222	544	1896
223	545	1890
224	547	1885
225	548	1880
226	550	1874
227	552	1869
228	558	1881
229	560	1877
230	562	1871
231	563	1866
232	566	1863
233	567	1858
234	575	1873
235	577	1868
236	578	1863
237	581	1861
238	582	1855
239	587	1858
240	590	1860
241	592	1856
242	594	1850
243	595	1846
244	597	1841
245	598	1835
246	605	1845
247	606	1840
248	608	1834
249	609	1828
250	610	1822
251	612	1817
252	613	1811
253	616	1812
254	620	1814
255	622	1809
256	624	1804
257	626	1800
258	627	1795
259	628	1789
260	629	1782
261	636	1793
262	638	1789
263	640	1784
264	641	1778
265	642	1772
266	643	1766
267	644	1761
268	646	1758
269	649	1755
270	651	1753
271	653	1747
272	654	1742
273	655	1736
274	656	1730
275	657	1725
276	658	1719
277	659	1713
278	660	1707
279	662	1702
280	665	1703
281	666	1698
282	667	1692
283	668	1686
284	670	1681
285	671	1675
286	672	1669
287	673	1664
288	674	1658
289	675	1652
290	677	1650
291	679	1647
292	680	1642
293	681	1637
294	683	1632
295	684	1626
296	685	1621
297	686	1616
298	687	1610
299	688	1605
300	689	1600
301	690	1594
302	691	1591
303	693	1588
304	694	1583
305	695	1577
306	696	1572
307	697	1567
308	698	1561
309	699	1556
310	700	1551
311	701	1546
312	702	1541
313	703	1535
314	704	1530
315	704	1525
316	706	1522
317	709	1522
318	710	1517
319	712	1513
320	713	1509
321	714	1504
322	715	1499
323	716	1494
324	717	1489
325	718	1484
326	719	1479
327	720	1476
328	722	1473
329	723	1469
330	724	1465
331	725	1460
332	727	1456
333	727	1451
334	728	1446
335	729	1442
336	730	1437
337	731	1433
338	732	1428
339	733	1424
340	735	1420
341	737	1418
342	738	1415
343	740	1411
344	740	1406
345	741	1402
346	742	1397
347	743	1393
348	744	1389
349	745	1384
350	746	1380
351	747	1375
352	748	1371
353	748	1366
354	750	1362
355	752	1361
356	753	1357
357	754	1353
358	755	1349
359	756	1345
360	758	1342
361	759	1338
362	760	1334
363	761	1330
364	762	1326
365	763	1322
366	765	1320
367	767	1318
368	769	1316
369	771	1314
370	773	1311
371	775	1308
372	777	1306
373	779	1304
374	785	1308
375	786	1305
376	788	1302
377	789	1299
378	791	1297
379	793	1295
380	800	1301
381	802	1298
382	804	1296
383	805	1292
384	807	1290
385	809	1287
386	810	1284
387	816	1287
388	820	1289
389	823	1288
390	825	1285
391	831	1289
392	832	1286
393	834	1283
394	835	1280
395	837	1277
396	838	1274
397	840	1271
398	842	1269
399	846	1269
400	848	1266
401	850	1264
402	851	1261
403	854	1261
404	857	1259
405	859	1258
406	862	1257
407	864	1254
408	865	1251
409	867	1247
410	868	1244
411	869	1241
412	870	1237
413	871	1233
414	875	1234
415	876	1231
416	878	1228
417	880	1225
418	881	1222
419	883	1219
420	884	1216
421	885	1213
422	887	1209
423	891	1210
424	892	1208
425	894	1205
426	895	1202
427	897	1198
428	898	1195
429	900	1193
430	901	1190
431	902	1186
432	904	1184
433	907	1183
434	908	1180
435	909	1177
436	911	1174
437	912	1171
438	913	1167
439	914	1164
440	915	1160
441	916	1157
442	917	1154
443	922	1155
444	923	1152
445	924	1148
446	925	1145
447	927	1142
448	928	1138
449	929	1135
450	930	1132
451	930	1128
452	932	1125
453	933	1122
454	936	1121
